iata,icao,name,aliases
NS,SRJ,Caucasus Airlines,
SX,SRK,Sky Work Airlines,SkyWork Airlines
P8,SRN,SprintAir,Sprint Air
MZ,SRO,SAEREO,
DG,SRQ,Cebgo,South East Asian Airlines|cebgo|Tigerair Philippines
S6,SRR,Star Air (Denmark),
2I,SRU,Star Perú,Star Peru
S2,SRV,,Services Air
VC,SRY,ViaAir,
D2,SSF,Severstal Air Company,Severstal Aircompany
SG,SSR,Sempati Air,SPIROW
5G,SSV,Anda Air,Skyservice Airlines|Skyservice|Maestro
4S,STB,Star Airways,
MJ,STG,SMB Stage Lines,
RE,STK,Stobart Air,
8F,STP,STP Airways,Sao Tome & Principe Airways
5H,STQ,,
2S,STW,Southwind Airlines,
Z2,STY,Styrian Spirit,Styrian Airways GmbH & Co KG|Slovenian Spirit
S9,SUA,SUA,
SD,SUD,Sudan Airways,Sudan AW
EZ,SUS,Sun Air of Scandinavia,SUN-AIR of Scandinavia
KJ,SUT,Sultan Air,
ZA,SUW,Interavia Airlines,
SV,SVA,Saudia,Saudi Airlines|Saudia Airlines|Saudi Air|Saudia Cargo
GM,SVK,Air Slovakia,
U6,SVR,Ural Airlines,Ural|Ural Air|Ural Airline|Ural Airlines OJSC
VC,SVV,Servivensa,
WN,SWA,Southwest Airlines,Southwest|Southwest Airlines Co.
A4,SWD,,Southern Winds Airlines
WG,SWG,Sunwing Airlines,
JK,SWI,Sunworld International Airways,
YW,SWJ,StatesWest Airlines,StatesWest AL
ZA,SWM,Sky Angkor Airlines,Skywings Asia Airlines
PT,SWN,West Atlantic Sweden,West Air Sweden|West Atlantic|West Atlantic Group
SO,SWO,Swiss World Airways,
Q7,SWQ,iAero Airways,"Swift Air|Swift Air, LLC"
LX,SWR,Swiss International Air Lines,Swiss|Swiss Air|Swiss Air Lines|Swiss Airline|Swiss Airlines|Swiss International Air Lines AG
WT,SWT,Swiftair,Swiftair S.A.
BQ,SWU,Sky Alps,SkyAlps
WV,SWV,Swe Fly,
IS,SWW,Sunways Intersun,Sunways|Intersun|Sunway Intersun Havacilik Anonim Sirketi
Q4,SWX,Swazi Express Airways,
IS,SWY,Sunways,Sunways Airlines A.B.|Sunways Airlines AB
XG,SXD,SunExpress Deutschland,
XW,SXR,Sky Express,
XQ,SXS,SunExpress,Sun Express|Sun Express Air|SunExpress Air|SunExpress Airline
ZF,SXY,,
FS,SYA,Syphax Airlines,
R3,SYL,Yakutia Airlines,
MQ,SYM,Simmons Airlines,Simmons AL
RB,SYR,Syrian Air,Syrian Airline|Syrian Arab Air|SyrianAir|SyrianAirline
S9,SYW,SkyAirWorld,
AL,SYX,Skyway Airlines,
4Z,SZL,Swaziland Airlink,Airlink Swaziland
HC,SZN,Air Senegal,
TN,TAA,Trans Australia Airlines,
TT,TAB,TABA – Transportes Aéreos da Bacia Amazônica,
WG,TAC,Taiwan Airways,Taiwan Airlines
IO,TAD,Air Paris,Air Orly
KI,TAF,Time Air,Time Air of Canada
TA,TAI,Avianca El Salvador,TACA Air
U9,TAK,Tatarstan Airlines,
JJ,TAM,LATAM Brasil,LATAM Airlines Brasil|LATAM Brazil|TAM Airlines|TAM Lineas Aereas|TAM Líneas Aéreas|TAM Linhas Aereas
B4,TAN,ZanAir,ZanAir Limited
9N,TAO,Tropicair,
TP,TAP,TAP Air Portugal,Air Portugal|TAP Air|TAP Airlines|TAP Portugal|TAP Express
TU,TAR,Tunisair,
VD,TAT,TAT European Airlines,
XJ,TAX,Thai AirAsia X,
3V,TAY,ASL Airlines Belgium,TNT Airways
TV,TBA,Tibet Airlines,
M7,TBG,Tropical Airways,
BZ,TBL,Berline,
HH,TBN,,
2T,TBS,Timbis Air,Timbis Air Services
BW,TBX,Tobago Express,
I3,TBZ,,
S5,TCF,Shuttle America,
T2,TCG,Thai Air Cargo,
TC,TCO,ATC Colombia,Aero Transcolombiana de Carga
YI,TCT,TUR European Airways,TUR Avrupa Hava Yollari
T7,TCU,TransGlobal Airways,
VR,TCV,Cabo Verde Airlines,
HQ,TCW,Thomas Cook Airlines Belgium,
MT,TCX,Thomas Cook Airlines,Fly Thomas Cook|Thomas Cook Flights|Thomas Cook Fly
PH,TDK,Transavia Denmark,Transavia Denmark ApS
TQ,TDM,Tandem Aero,Tandem-Aero
C3,TDR,Trade Air,
HE,TEA,Trans European Airways,
ZJ,TED,Teddy Air,
CL,TEH,Tempelhof Airways,Tempelhof Airways USA|Tempelhof AW
GD,TEJ,TAESA Lineas Aéreas,"TAESA Lineas Aereas|Transportes Aéreos Ejecutivos, SA"
ZN,TEN,Tennessee Airways,
UE,TEP,Transeuropean Airlines,
PQ,TFK,Transafrik International,
OR,TFL,TUI fly Netherlands,Arkefly|TUI Airlines Nederland|TUI Fly Netherlands
YT,TGA,Air Togo,
TT,TGG,Tiger Airways Australia,Tigerair Australia
IL,TGN,Trigana Air Service,Trigana Air|Trigana Air Services
2S,TGR,Satgur Air Transport,
5U,TGU,Transportes Aéreos Guatemaltecos,TAG Airlines
TR,TGW,Tiger Airways,Tiger Airways Singapore|Tiger Airways Singapore Pte Ltd|Tigerair
A9,TGZ,Georgian Airways,Airzena|Georgian Air|Georgian Airlines
TG,THA,Thai Airways,"Thai Airways International Public Company Limited|Thai Airways International Public Co., Ltd.|THAI|Thai Airways International"
WE,THD,Thai Smile,Thai Smile Airways
9D,THE,,
AO,THJ,ThaiJet,ThaiJet Airways
TN,THT,Air Tahiti Nui,
TK,THY,Turkish Airlines,DHY|Türk Hava Yolları|Türkiye Devlet Hava Yolları
TI,TIA,Texas International Airlines,TTA|Trans-Texas Airways (TTA)
T4,TIB,TRIP Linhas Aéreas,TRIP Linhas Aereas
8T,TID,Air Tindi,
UZ,TIS,TESIS Aviation Enterprise,
T9,TIW,Transcarga,Transcarga International Airways Compañia Anonima
E8,TJB,Tayaranjet,
7J,TJK,Tajik Air,
T7,TJT,Twin Jet,
WU,TKC,Tikal Jets Airlines,
JW,TKE,Trek Airways,
9I,TKY,Thai Sky Airlines,
T8,TLA,TransAer International Airlines,
L5,TLB,Atlas Atlantique Airlines,Atlantique Air Assistance
Q4,TLK,Starlink Aviation,
KC,TLL,,
SL,TLM,Thai Lion Air,"Thai Lion Mentari Co., Ltd."
7I,TLR,Air Libya,
L9,TLW,Teamline Air,Teamline Air Luftfahrt GesmbH
PM,TLY,Top Fly,
T2,TMA,TMA Cargo,N2|TANGO LIMA|Trans Mediterranean Airways SAL
GM,TMG,Asia Cargo Airlines,Tri-MG Intra Asia Airlines
HJ,TMN,Tasman Cargo Airlines,
M8,TMW,Trans Maldivian Airways,
GE,TNA,TransAsia Airways,Foshing Airlines|Revival Airlines
N4,TNB,Trans Air Benin,
3P,TNM,Tiara Air,Tiara Air Aruba
6R,TNO,Avianca Cargo México,Aerounion - Aerotransporte de Carga Union
M8,TNU,TransNusa Air Services,TransNusa|TransNusa Aviation Mandiri
7T,TOB,Tobruk Air,Tobruk Air Transport and Cargo
BY,TOM,TUI Airways,Thomsonfly|Thomson Airways|TUI UK
L8,TON,Lulutai Airlines,
9L,TOW,AirTanker Services Limited,ATS|AirTanker
QT,TPA,Avianca Cargo,
TY,TPC,Air Calédonie,Air Caledonie|Transpac Airlines
TB,TPS,Trump Shuttle,Trump Airlines
T0,TPU,Avianca Peru,
K3,TQN,Taquan Air,
3T,TQQ,Tarco Aviation,Tarco Air
HV,TRA,Transavia,Transavia.com
RW,TRB,Thai Regional Airlines,
2T,TRJ,TruJet,Turbo Megha Airways Pvt Ltd
T4,TRL,Transeast Airlines,
FL,TRS,AirTran Airways,AirTran|AirTran Airways Inc.|ValuJet|AirTran JetConnect
H7,TRV,Taron Avia,
WZ,TRW,Transwestern Airlines,
T9,TRZ,TransMeridian Airlines,
TS,TSC,Air Transat,Air Transat A.T. Inc.
R9,TSD,TAF Linhas Aéreas,TAF Linhas Aereas
Q8,TSG,,
UN,TSO,Transaero Airlines,
K9,TSP,TonleSap Airlines,
MC,TST,TranStar Airlines,Muse Air
IF,TSU,Contract Air Cargo,"IFL Group Inc., Gulf & Caribbean Cargo"
YS,TSY,Tristar Air,
L1,TTL,,Total Linhas Aereas
VY,TTN,Highland Express Airways,
IT,TTW,Tigerair Taiwan,Smart Cat
T5,TUA,Turkmenistan Airlines,Türkmenhowaýollary|Туркменские авиалинии
K2,TUD,Yute Commuter Service,
X3,TUI,TUI fly Deutschland,TUI fly|TUI fly Air|TUI fly Airline|TUIfly Air|TUIfly Airline
VK,TUN,Air Tungaru,
4B,TUP,Aviastar-TU,
UG,TUX,Tunisair Express,
TV,TVA,Trans International Airlines,
TO,TVF,Transavia France,Transavia Airlines S.A.S.|Transavia.com France|France Soleil|Transavia France S.A.S.
VZ,TVJ,Thai Vietjet Air,
7O,TVL,Smartwings Hungary,Travel Service Hungary
3Z,TVP,Smartwings Poland,Travel Service Poland
6D,TVQ,Smartwings Slovakia,Travel Service (Slovakia)
T6,TVR,Tavrey Airlines,
QS,TVS,Smartwings,"Travel Service|Travel Service Airlines|Travel Service, a.s."
TR,TVV,Travira Air,
TW,TWA,Trans World Airlines,"Trans World Airlines, Inc.|Trans World Airlines, TWA|TWA Trans World Airlines"
TW,TWB,T'way Airlines,Hansung Airlines|T'way Airline|T’way Air|Tway Air|Tway Airline|Tway Airlines
TI,TWI,Tailwind Airlines,
EC,TWN,Avialeasing,Avialeasing Aviation Company
AL,TXC,TransAVIAexport Airlines,Transavia Export|Transavia Export Airlines
R7,TXG,7Air Cargo,
KV,TXP,Asian Express Airline,
Y7,TYA,Taimyr Air Company,Nordstar
VO,TYR,Tyrolean Airways,Austrian Arrows
ZG,TZP,ZIPAIR Tokyo,ZIPAIR
ZT,TZT,Air Zambezi,
EK,UAE,Emirates,Emirates Group|The Emirates Group|Emirates SkyCargo
UA,UAL,United Airlines,"United|Continental|Boeing Air Transport|United Air Lines, Inc.|United Airlines, Inc.|Varney Air Lines"
UB,UBA,Myanmar National Airlines,Myanma Airways|Union of Burma Airways|Burma Airways|Burma Airways Corporation
BS,UBG,US-Bangla Airlines,
Z0,UBT,Norse Atlantic UK,
C5,UCA,CommuteAir,CommutAir
U7,UCG,UniWorld Air Cargo,
DW,UCR,Aero Charter,
7D,UDC,Donbassaero,Donbassaero Airlines
Z6,UDN,Dniproavia,
EU,UEA,Chengdu Airlines,
UE,UED,Air L.A.,
UR,UGD,,Uganda Airlines|Uganda National Airlines Company Limited
QU,UGX,East African Airlines,
B7,UIA,Uni Air,UNI AIR|UNI Airways
UE,UJC,Ultimate Air Shuttle,
UH,UJX,AtlasGlobal Ukraine,Atlasglobal UA
UK,UKA,AirUK,Air UK|KLM uk
IH,UKI,UK International Airlines,
MV,UKL,Air UK Leisure,
UF,UKM,UM Airlines,
6U,UKR,Air Ukraine,
6Z,UKS,Ukrainian Cargo Airways,
5V,UKW,Lviv Airlines,
ZX,UKZ,Zoom Airlines Limited,
MV,ULE,Leisure International Airways,
YL,ULG,U Airlines,
2N,UMK,Yuzhmashavia,Yuzmashavia
5V,UNI,Community Express Airlines,
5X,UPS,UPS Airlines,UPS Air|UPS Air Cargo
3N,URG,Air Urga,URGA International Joint Stock Aviation Company
6S,URJ,Star Air Aviation,
3T,URN,Turan Air,
SE,URO,European Cargo,
US,USA,Silk Avia,Silk Avia LCC|Silkavia
UH,USH,US Helicopter,
UT,UTA,UTair Aviation,UTair Air|UTair Airline|UTair Airlines|Union de Transports Aériens|UTA French Airlines
QU,UTN,Skyline Express Airlines,Azur Air Ukraine|UTair-Ukraine
UW,UTP,Uni-Top Airlines,
UR,UTX,UTair Express,
QQ,UTY,,
UV,UVS,Air Universal,
UY,UYC,,
HY,UZB,Uzbekistan Airways,Oʻzbekiston havo yoʻllari|UZBEK|Uzbekistan Air|Uzbekistan Airline
V9,VAA,Van Air Europe,
VC,VAL,Voyageur Airways,Voyageur Airways Limited
9R,VAP,Phuket Air,
VU,VAR,Veca Airlines,
V8,VAS,ATRAN,
OT,VAT,Avant Airlines,
VA,VAU,V Australia,
F6,VAW,Fly2Sky,VIA Airways
ZV,VAX,V Air,
2J,VBW,Air Burkina,Air Burkina SA|Air Volta
J6,VCR,Cruiser Linhas Aéreas,Cruiser Linhas Aereas
V0,VCV,Conviasa,
VC,VCX,Ocean Airlines,Bresciair
